state_id,fips,population
MS,28111,11973
MS,28113,39288
MS,28115,32174
MS,28117,25126
MS,28119,6792
MS,28121,155271
MS,28123,28124
MS,28125,4321
MS,28127,26658
MS,28129,15916
MS,28131,18336
MS,28133,25110
MS,28135,13809
MS,28137,28321
MS,28139,22015
MS,28141,19383
MS,28143,9632
MS,28145,28815
MS,28147,14286
MS,28149,45381
MS,28151,43909
MS,28153,20183
MS,28155,9689
MS,28157,8630
MS,28159,17955
MS,28161,12108
MS,28163,29690
MO,00029,6137428
MO,29001,25343
MO,29003,17712
MO,29005,5143
MO,29007,25388
MO,29009,35789
MO,29011,11754
MO,29013,16172
MO,29015,19443
MO,29017,12133
MO,29019,180463
MO,29021,87364
MO,29023,42478
MO,29025,9020
MO,29027,44743
MO,29029,46305
MO,29031,78871
MO,29033,8679
MO,29035,5982
MO,29037,105780
MO,29039,14349
MO,29041,7426
MO,29043,88595
MO,29045,6797
MO,29047,249948
MO,29049,20387
MO,29051,76745
MO,29053,17709
MO,29055,23920
MO,29057,7561
MO,29059,16878
MO,29061,8278
MO,29063,12547
MO,29065,15573
MO,29067,13185
